name,date,type,url
INCF / NIDM / NIDASH,2015-01,event,"n/a"
First draft,2015-09,event,"n/a"
BIDS Paper,2016-06,publication,https://doi.org/10.1038/sdata.2016.44
BIDS App Paper,2017-03,publication,https://doi.org/10.1371/journal.pcbi.1005209
OpenNeuro "launch",2018-02,event,"n/a"
First commit on the BIDS specification github repository,2018-09,event,"n/a"
First BIDS streering group election,2019-09,event,"n/a"
1.0.0,2016-06,release,"n/a"
1.0.1,2017-03,release,"n/a"
1.0.2,2017-07,release,"n/a"
1.1.0,2018-04,release,"n/a"
1.1.1,2018-06,release,"n/a"
1.1.2,2019-01,release,https://bids-specification.readthedocs.io/en/v1.1.2
1.2.0,2019-05,release,https://bids-specification.readthedocs.io/en/v1.2.0
1.2.1,2019-08,release,https://bids-specification.readthedocs.io/en/v1.2.1
1.2.2,2020-02,release,https://bids-specification.readthedocs.io/en/v1.2.2
1.3.0,2020-04,release,https://bids-specification.readthedocs.io/en/v1.3.0
1.4.0,2020-06,release,https://bids-specification.readthedocs.io/en/v1.4.0
1.4.1,2020-10,release,https://bids-specification.readthedocs.io/en/v1.4.1
1.5.0,2021-02,release,https://bids-specification.readthedocs.io/en/v1.5.0
1.6.0,2021-04,release,https://bids-specification.readthedocs.io/en/v1.6.0
1.7.0,2022-02,release,https://bids-specification.readthedocs.io/en/v1.7.0
1.8.0,2022-10,release,https://bids-specification.readthedocs.io/en/v1.8.0
1.9.0,2023-11,release,https://bids-specification.readthedocs.io/en/v1.9.0
